darija_ar,translated_eng
"أُملي شاف بلي كانت سارد, ماخلانيش ندخال.","When I saw it was cold, I didn't let in."
"حيت إلا كان شي توقب فلهايكال, راه موحتامال نموتو قاريبان","Because if there's a problem in the kitchen, we're almost dead"
ل غبرا كاتجيب ليه لعطصا,the dust brings him thirsty
شافتي ڭاع دوك لباطات!,I saw the duck in the shoes!
"داز كي لويل... صبّات عليا شتا ف طريق لخدما, أُ ماكان عندي باش نشّف حوايجي, إوا أُ بقيت كاندور نهار كامل ب حوايجي فازڭوين.","I went to the hospital... I had to go to work on the way, and I didn't have to clean my clothes, so I spent the whole day with my clothes on."
"أهلان, كارولين, ماكاتحاسيش بلمالال هنا شوييا","Hello, Caroline, you don't feel comfortable here any more"
كاتخرج معا لعشران بزّاف هاد تاواخير?,you've been dating too many lat lately?
كيعجبك تجرب رستورات جداد فلمدينا ?,Do you like trying new restaurants in our town?
دجاج بلكريما?,Chicken with cream?
واش هووّا مزوّج?,Is he married?
من ديما أُ نتا هاكّا!,Always and always!
لڭرافّوز ديالو,to the pass
أه كانتمانا,"Ah, hope"
أتّنتيون,wait
خاصّو يمشي بكري ليوم,I have to go early today
قاهوا أُشوييا ديال لما أُ موجيتو!,They're cooking coffee and a little water!
عندو شعر قصير,he has short hair
والاكين غادي يخسنا بزاف ديال بنادام باش نلعبو فريسبي مزيان,But it will take a lot of time to play a good game of frisbee
منين نتا?,Where are you from?
سهحال فعمر هاد لبينايا?,how is this for me?
سصوط كايتقطّع,The noise is getting loud
لماكلا لمالحا كاتجيب لعطش,The salty food makes you thirsty
سالام كنت كانخمم را شحال هادي مامشينا لشي رستورا,I was wondering how many people went to the restaurant
واش عتاك شي مسّاجات لييا?,Did you have any answers for me?
"ڭدّ هاكّا, أُباقي كاتعيش فعالام تل مانڭا أُ روسوم موتاحاريكا, ماكاتحشمش","But then, I'm living in a mountain town and a museum, I don't care"
تلاقين معا خاسم قاسح,You meet a tough guy
كيفسه غادي تقدار تڭول ليا?,How can you tell me?
زيد عليها أنّاك كنتي معطّل لبارح تاهوا.,It's a shame you were late yesterday.
أنا ماجيعانش ساراحا,I'm not a student
بغيت ناسيحا ديالك كيفاش نعاونو,I need your advice on how to help
حتا أناني قدارت نكافاح لقاهوا علا راإس ديالي,I also enjoyed a coffee fight on my head
بغيتيني ندوز ليك نهزّك?,I'd like to take you to your party?
كاتأمن فزهر ولا لخدما ?,are you sure about the weather or the work?
واش كنتي كاتشرب?,Have you been drinking?
أنا راه طبيب نفسي ديالك.,I'm your psychiatrist.
"صافي, شي باس ماكاين","OK, some of the machines are on the table"
أنا ديما كانلعاب مزيان مورا شوييا ديال شاراب,I always play well after a little wine
أنا عيّانا,I'm a doctor
بزاز باش كانقدار نتماشا هاد لييام,I'm just looking forward to this day
أش مومكين الدير?,what can you do?
شريت الپيكالا,I bought the picka-pika
ماعرفتش شنو خسّ ندير,I don't know what to do
من طوروق لمومتازا باش نحاسنو عالاقات لخادما هوا تانضيم ليقاء ماشي راسمي,It's important to develop a custom to make work arrangements is to make it unofficial
مسكين نتا,You're poor
من ويجهات الناضار ديالي,from my neighbor's side
مايمكنش,"No, it's not possible"
عندهوم,they have
ماتقدر إلّا أنّاك التيق فل بنّاج,You can only get up in the morning
لفاراشا حاشارا صغيرا,the fridge is small
أروپّا كانت ف حرب,Europe is at war
كاين فتاباق سافلي,There's a table next to me
والاكين هادشي ماشي معقول!,But that doesn't make any sense!
أنبعد علا لحلاوا,I'm leaving for the honey
بسّاح هاد ل پروجت معتّل,I'm tired of this
ما رتاحيتش ل لعارض ديالك.,I'm not comfortable with your show.
لا!,No!
أُ كانبقا ندراب فناس كايعومو بشوييا,And I'm still seeing people who teach him a lot
لقامار كايلمع,gambling is bright
درت واهد الزبلا,I've taken the pill
خوصوصان منين كايكون إدطيراب أُ كامشي أتاي أُلقاهوا فڭاع لبلايس!,Especially when it's a turbulent atmosphere and when it's a good time to get to the beach!
لإحساإيات ديال لپوسّسّيون ورات شكون لي حكم لماتش,the emotions of the fans have made me feel like I'm not judging the match
لوراق كانو مخربقين فواحد لكارتونا كبيرا,The paper was broken in one of the big cartoons
خاسّني نشري شي تقديا من بعد,I need to buy a cake later
لحوسن لحاض هاز معايا تيليفوني,I'm glad I had my phone
كانتمنّا نقدر نرجع قاريبان,I wish I could come back soon
"بصّاح, والاكين راه موريحين, أُ فاش خرجت من الدار كانت شمش!","Yes, but it's still smelly, and when I left the house it was sunny!"
"هي, نتا, واش يالاه دخلتي لحاي?","Hey, you, did you just enter the room?"
هادشي مالح,It's salt
هادا تقليد,That's a tradition
غانبدّل نضاضري,I'm going to change my subject
كايلعب معا ل قطّا,He plays with the cat
خود منونا,take us
كون غير صڭت بشوييّا,I've been very quiet
"أُ من فوق هادشي, ضاربني لبرد بزّاف, إدان حسن ليا نغطّي راسّي.","And besides, I've been getting a lot of cold, so I'm better off covering my head."
شهر واحد,month
واش نعارضو علا شي واهد أُلا جوج خرين أُنقدرو نلعبو پوكر?,Do we have to go to the same or two other casinos and play poker?
واش خدام?,work?
"أه, هادو ماواديع موهيما بزاف, عانداك لحاق","Yes, it's a very important subject, if you're lucky"
أُ هادشي غادي إكون شويا ماشي موناسيب,And that would be a bit unusual
ماحسش بسادما?,Don't you feel sad?
ماڭاهنطيّبش شعريا صحابني التبصيل ديال روز!,I love my hair with my rose fingers!
نقدر نتفي دو ?,Can I call you?
كان هادشي باش نكونو معا بعضيياتنا,it was so nice to be together
هووّا مودمين علا لقمر,He is a moon-mood
التران معطّل بزّاف,the train is very late
بسهحال هادي...?,How easy is that...?
واش نتا واجد?,Are you ready?
هووّا طمّاع,He is greedy
لعامالا,a worker
هادشي كايبان واعر,That sounds familiar
أُ كانخدام هنا باش نخلّس لكرا ديالي,And I'm here to pay my rent
كاين شي جاديد,There's a serious problem
لمونتاخاب ربح,the winners
تطياب هووّا لهيوايا ديالو,he's a good fit for his hobby
شكون شاخسّ لي كيحسّك براحا ?,Who is the one who makes you feel better?
"لموهيم, باينا واش حنا فمءقزاك كبير هنا","Well, we're in a big business here."
شحال من مرا جيتي لهنا?,how long have you been here?
خويا سغير كايمشي لمادراسّا,My little brother goes to madrassa
"ف الجيها لخرا من شاريع كاين ل بيرو ديال دوكتور نابيل, طبيب ت الريجيم مومتاز","On the other side of the street is the office of Dr. Napel, a doctor of diet"
ماتعاقبنيش,Don't punish me
الدرّي الصغير بال ف سروالو,The little girl in her pants
