darija,tgt,src
"لحفلا غاتكون هاد الليلا, والاكين, ألا كنتي مسالي, غاتكون مزيانا نستاعدّو مجموعين حيت عندك بزّاف ديال ل أفكار لمزيانين","The party will be tonight, but, if you're not interested, it's best to use the pool as you have plenty of good ideas",الحفلة غادي تكون هاد الليلة، ولكن، إلا كنت غير مهتم، من الأفضل أن تستخدم السباحة حيت عندك الكثير من الأفكار الجيدة
كانحول نعرف شنو كايدور فراسّي.,I'm trying to figure out what's going on in my bed.,كنحاول نكتشف شنو كايجري ففراشتي.
خرج من لخدما,he left work,خلي العمل
هووّا ديما كايصوم,he always does fast,دايما كايسري
أه شي عشا فرستورا فويكرا زوينا هادي,"Yes, this beautiful restaurant in the city is beautiful",نعم، هاد المطعم الجميل فالمدينة جميل
أُ لماكلا?,And the food?,و الاكل؟
"اللا, ماشي ديالو","No, it's not him",لا، ماشي هو.
ماغاديش تبرزط?,You're not going to get out?,واش ماشي غادي تخرج؟
واش بغيتي فولار?,Do you want a flower?,واش تبغي زهرة؟
بغات تولي تبيبا ديال سنان,I want to take a toothpaste,بغيت ناخد معجون الأسنان
شنو هيس ل حاجا لي ديما كاتفرحك ?,what's the thing that always makes you laugh?,اشنو هو الشي اللي دايما كايجعلك تضحك؟
واش عاندك شي فيكرا شحال تلواقت خدينا باش نوصلو لهاد لبلاسا ف لغابا?,Do you have any idea how long it took to get to this place in the forest?,واش عندك شي فكرة شحال دالوقت دخلنا باش نوصل لهاد البلاصة فالغابة؟
"فنفس لوقت, إمكان لينا ندويو علا لخوطات ديالنا فلمستاقبال","At the same time, we can discuss our future plans",فالوقت نفسه، يمكن لينا نتناقشون في خططنا لليوم الجاي
"والاكين ملّي حنا من لجانوب, كانضن غادي ندووزو هادشي...","But since we're from the south, I think we'll try this...",و لكن حيت حنا من الجنوب، فاكرني غادي نجربو هاد الشي...
فين بغيتي تفطر?,Where would you like to eat?,فين بغيتي تاكل؟
غادي نبدا ب لماكييّاج,I'll start with makeup,غادي نبدا بالماكياج
لماكلا من جيها خرا ماشي شي حاجا.,The food is not good.,الاكل ماشي زوين.
ها كيفاش,Here's how,هادا كيفاش
هووا هووا,he is,هادا
أُ حتا سنان لإستيناعييا,and even toothpicks,حتى الدواغس
دابا كايبان لييا كايهضمو لخوبز مزيان,Now it looks like they're eating good bread,و هادشي كايبان بلي كاياكلو خبز زوين
عندو معنا,he's with us,هو معانا
هادشي خايب!,That's wrong!,هادا غلط!
واش كاتقسد أناك كاتعاني باش تنعاس أُلا كاتنعس بزاف?,Do you have to worry about getting to sleep or do you sleep too much?,واش خاصك تتقلق حيت ما تخلدش للنوم أو واش كتخلد للنوم بزاف؟
مابقيتش غادي ناعتي لخوبز باقي,I haven't even been able to get the bread yet,حتا ما جبتش الخبز.
خانتسدم إلا وقع دكشي,I'm surprised if this happens,أنا متفاجئ إذا كان هادشي كايجري
حاسّ براسو,I feel better,كنحس براسي احسن
ماشي دابا,Not now,مكنش دابا
قلّب جياب ديال السروال,I'm wearing pants,أنا لابس البنطال
"أُ شوفو لهيه عسا, أُل ڤيلّاڭ تاهوا.","And look, it's late, and the elevator is slow.",و شوف، فالوقت المتأخر، و المصعد بطيء.
قرن,the century,القرن
عجبني,I like it,كايعجبني
كانبغي لحوت أُ شيپس,I want fish and chips,بغيت سمكة و بطاطا مقلية
مامحتاجش ناتبات هادشي,I don't need to take this,ماعنديش حاجة نأخذ هاد الشي
غادي تخالي ناس يحاسو بعادام إرتيياح,I'll leave people feeling relaxed,غنترك الناس يشعرون بالراحة
قلّ من 5 دهس,Less than five,أقل من خمسة
ل هامبورڭر غادي يكون هنا من بعد,The hamburger will be here later,الهمبرغر غادي يجي من بعد.
عندي خويا صغر منّي,I have a younger brother,عندي أخ صغير
إمكان غادي إبكي فلحامام مرا مرا,I might cry in the bathroom once,يمكن لي نبكي فالحمام مرة
أنا أُستاد ديال الريياضييّات,I'm a math teacher,أنا مدرس الرياضيات.
ليوم,today,اليوم
جاوب ف التيليفون,I answer the phone,أنا كَنْجاوب على التلفون
طلابتي مني نحدّرهوم,I asked them to list them,طلبت منهم يدرجوهم
ڭاعما عرفتيها!,I've never met her!,ما التقيتهاش!
تعلّمت التوركييّا من لأفلام,I learned Turkish from movies,تعلّمت التركي من الأفلام
هادا لموصوّير ديالي,This is my favorite,هادا هو المفضل عندي
بلا حليب!,No milk!,ماكاينش حليب!
خاصّك التاكول مزيان,You have to eat well,خاصك تاكل بشكل صحيح
أشانهييا أحسّن تاريقا عندك باش تدير سپورت ?,What's your favorite sport?,اشنو رياضة المفضلة ديالك؟
نهار كبير هادا,It's a big day,هادي نهار كبير
أساسان نتا تحت الضاغط دابا,basically you're under stress right now,بالمعنى، انت تحت الضغط دابا
شعل الضو,light up,ضو
التاريخ يوعيدو نافساه,history promises itself,التاريخ كايوصل
أش بالّيك فلاخور?,What do you think about the food?,اشنو كايبان عليك الماكلة؟
صعيب بعض لمرات أناك تكبار فلعمار,It's hard sometimes to get older,فبعض الاحيان يصعب التقدم في العمر
أُ قسماين,and two vows,وْتْنْيَة دْ النَّوَابْ
سخون هاد ليوم,it's hot today,الجو سخون اليوم
كانحول نادير اللي ف جهدي.,I'm trying to work hard.,كنحاول نشتغل بجد.
هادي هيا اللعبا لواحيدا لي كانعرف,It's the only game I know of,هادي اللعبة الوحيدة اللي عرفتها.
اللاه علا حبيبي مسكين.,God for my poor friend.,الله على صاحبي المسكين.
كايبان ليا نساليو هاد الليقاء دابا.,I think we should get rid of this stuff now.,كنظن بلي خاصنا نتخلص من هاد الشي دابا.
تعدّا علييّا,call me,اتصل بي
تايبالّيا غايجينا جاواب أسراع من الناس اللي فل إستيقبال.,I think we'll get a quick response from the people in the room.,كنظن بلي غادي يكون لينا رد سريع من الناس اللي ف الغرفة.
هادشّي ماشي معقول,That's not reasonable,هادا ماشي معقول
تبعني,Follow me,اتبعني
شوكران علا الداعم ديالك,Thank you for your support,شكراً على دعمكم
كاين لهودوء هنا,It's quiet here,هادئ هنا
أُلخدما عنداك علا وجاه لخوسوس,You've got a job on the nose,عندك شي عمل على الجنب
"أه, حالوا ديال شوكلات, أُ تفاحا خرا علا ماكانضن","Yes, the chocolate, and the apple is so good",نعم، الشوكولاتة، والفول مزيان جدا
الدي سانسور ل ليطاج واهد,the sensor is on the bed and bath,الحاسوب موجود على السرير والحمام
غادي نجيب لماضاريب,I'll get the math,غادي نحصل على الرياضيات
سهنو سميت هاد لواد?,What's the name of this place?,شنو اسم هالمكان؟
قلّ تولوت,say it's too late,كايقولوا بلي فات الأوان
شحال ديال ناس?,how many people?,شحال من ناس؟
"أل جيتي تشوف, حنا ماتخاسين ف لبيرا","Come on, we're not afraid of beer",يالاه، حنا ماخافاش من البيرة
توحشت مدينتي,I miss my city,كنشتاق لبلادنا
هانيا,Hello,مرحبا
أُمار عطاه ل موهامد,I gave it to Muhammad,عطيتوه ل محمد
هاهيا,It's good,هادشي مزيان
مايمكنش تلبس السروال لحمر,You can't wear red pants,ما تقدرش ترتدي السروال الاحمر
يمكن يكونو كبر منّك بزّاف.,They may be much older than you.,يمكن ليهم يكونو اكبر منك.
مدغ ماكلتك مزيان,You didn't eat well,ماكلتش مزيان
"كانخدام ف قيسم تيجارا, غاليبان ف النيفط لخام","I work in the department of commerce, the oil company",كَنْخْدَمْ فْالْإدارة التجارية، الشركة النفطية
شحال ديال الناس?,How many people?,شحال د الناس؟
أش بالّيك?,What about you?,وماذا عنكي؟
تاقدار تستاعمال شوقّا ديالي,I can use my shoes,يمكن لي نستعمل صباطي
مورّق,it's dark,هاد الشي مظلم
