Original Moroccan Arabic,Translated English
كيف ولدونا واليدينا,How our parents were born
راني كنت سمعت دك الأغنية,I've heard that song before.
مكايعجبنيش نغسل لمّاعن,I don't like to wash my hands.
جيرانا كلهم صفرو بقينا غير حنا,All our neighbors have left us alone
داروري كانشرب واحد زوج إترو ديال الماء فنهار,My husband drinks one liter of water a day.
بغيت نموت,I want to die.
واش معقول نكونو حنا جايين على قبل رحلة سدقنا عنقراو,Is it reasonable that we should arrive before the flight has been delayed?
واش ماكايغسلوهومش,Do they not wash them?
راه ماكافياش هاد الماكلة لينا كاملين,This is not enough for all of us.
حاضك حاجة أخرى,I have something else for you.
تهدني راكي هملة,I feel a little bit down.
كتر من راسك,Over your head
را حيتيت البوضيزا ديال الما فلفريڭو خاتجمد,I see that the water in the freezer is frozen.
وا قتلوني بسوقرة رجليا حفاو,They shot me with a bare-legged knife.
لايعميها ليك,I don't want it for you.
فال زين هادا,That's good.
تاحاجة ماكادجي ساهلة,It is not easy to make.
كاين داير غير حانوت صغير,There is only a small shop.
طبيب ماعندو مايدير ليها,A doctor is no longer in charge of her.
"ماكاتبقاش فيا هاد أنيا, غادي يخلي ليها بزّاف ديال لفلوسّ تخيل","If she doesn't stay in this situation, she will lose a lot of money. Imagine"
هادشي غلط عندك,This is wrong with you.
أنا غادي ن ورتك,I will show you.
عمرك جربتي تساتفزّني أنا را مامعياش دحك,Your mother tried to seduce me. I don't like your mother.
ماتديهاش فيهوم,You don't have any of them.
غادي يكون داكشي سخيف,It would be so ridiculous.
كيعجبك تخيم ?,Do you like camping?
كل شهر حسني نخلص دو و الماء,Every month I have to pay for milk and water.
نسيت ماجبتش ريشارج,I forgot to bring a spare.
جاب نقطة مزيانة,You have a good point.
مخيتي لكونكور,My name is Concour.
ماكانش عليا نخليه يمشي,I shouldn't have let him go.
حسّي مسّي,"Please, please."
حتى خوك مكايجاوبش,Not even a pig will answer.
تقريباً 200 درهم,It's about 200 dirhams.
بلا ما تجرّب هاد لحلوا,Please try this dessert
خليني نشهد معاه.,Let me take a look at him.
من خرها عايشين,From the back of her neck
كنفكر كيفاش قدر,I wonder how much
تعطلي بزّاف باش تكمل لكتاب.,It took me too long to finish the book.
علاش مابغيتيش تقاد شي ستينتاج زوين لهاد تمرين,Why don't you take a nice walk for this exercise?
هاد المسار سعيب,This path is beautiful.
يقورو الناس,People are reading
حن تمحن,We are checking
خاصني نمشي نجمع ديك دار راه مسخى,I have to go pick up your house. It's crowded.
كان كيسحاب ليا غادي تبدل عليا,"If it's too hot, you'll have to change it for me."
شدّو تيقاركوم,Pull your cigarette
هنا راه خدامين مع بعضياتنا,Here are our servers together.
سير قلب عليها,Walk around it.
هادشي كامل كايوقع,This is all happening.
أنا جايا عندك شوية نوصل,I'll be there in a minute.
عشت داكشي لي بغيتي نتا,Live as you wish.
إوا?,What?
باش تحافظ على زيت العود خاصو يكون فدل,"To preserve the oil, the oak must be pure."
عندنا بطاطا ديال المقابلات؟,Do we have any interview cards?
أنا حاملة,I am with child
كولشي كان عارف كانخروج معاه,Kolche knew I was going out with him.
باش عرفوها,They'll know it.
كان كيسحاب ليا غادي نتكلما دخيا,"If it were up to me, I would talk to you privately."
سمع مسيان هاد اللوحة كيدايرة,I heard that the painting is moving.
"واش كاتعرف كيفاش تغوت بجّهد, ولا تغنّي بجّهد","Do you know how to dance hard, or sing hard"
تعطلتي بزّاف باش تدوّب شكلاط,I took too long to make chocolate
راه غير كايكدب عليك,He's just looking at you.
و لكن الشراب إمكن فكرة مزيانا,But a drink would be a good idea.
الطيارة مخات وخلطني,The plane took off and I got lost.
الماتش ديال مدريد,The match against Madrid
أخور,Other
واخا، تخايل نهار يوالي سفر الفضاء تجاري,"Okay, imagine a day of commercial space travel."
كندرب تمارة بلا نتيجة,I'm trying to get a result.
مابغيتش ولدي يطرب مع الباه,I don't want my son to sing with the poor.
لعيب منّو,It's our fault.
إيلا كنتي مشغول ڭولها ليا,"If you are busy, give it to me."
خاض من هنايا,Come this way.
ماكان عندي ماندير,I didn't have a mandir.
هاكّا,There you go.
صبر، التسلق كايعيي,"Wait, the climb is tiring."
الندم قديم بزاف,Regret is too old
كون غير قدرت ن قلي لبيض فهاد السهد,If I could only say white in this sentence
طبليت بيها,I've filled it.
ولدك كن بهل بنتي مني دزدت,Your son was very nice. My daughter stole from me.
راه كايبوع الفسفات خام,It is a source of phosphate rock
منين جاها زين,Where did it come from?
صدق ما فاتركس,It's not true.
علاش مزروب دابا؟,Why so fast now?
راه صريح بزّاف هاد لوليد,This is too honest a birth
صراحة الماتش كان ديالنا,The match was actually ours.
طال دابا عاد جاي,He has been coming for a while now.
ماعنديش,I don't have it.
ماعندك فين تليف,You don't have a phone.
كانتسنّا فيك ت الطبّطو,We were expecting you to be home.
راه هيا تعاونك على الزمن,Here is your timetable.
زعفان,Two
قبل مايفوت الفوت,Before the foot misses the toe
لاهوما بخوشة و تونس ولا يقطوتة و هواس,Lahouma in Khusso and Tunis or Yakatou and Haas
يالله خرجي عليا من هنا,Please get out of here.
أش كاتسناي,What do you expect?
السوق لحد الكتاب ديالي خايبة بزاف,The market for my book is very bad.
لا باقي ما نقيت بيتي,"No, I haven't cleaned my room yet."
بلا ماتحسّن ليه,"No, it doesn't."
مابغيتيش تشعل ديك اللفية,You don 't want to light the torch.
راه ماموريحش هاد الكرسي,This chair is not suitable.
نجيب ليك شي حاجة تاكلها,I'll get you something to eat.
إيلا فيك جوع هلي طلجة,"If you are hungry, eat something cold."
مانضنش غادي يستورد البلاد شي حاجة من برا,I don't think the country will import anything.
صافي مورا ما شت راجل حاز عليا الموس ستسلمت,I'll be ready when the man gets me.
هي راه ممتل معروف,It is very pleasant.
مانضنش غادي نڭابلك,I don't think I will see you.
حلّي ودنيك مزيان,Dress and be well dressed
سفتليه إيميل حسان,Send him a nice email
ڭولي لهقة كاملة,Look at the whole picture.
رسل سنانك,Brush your teeth.
مكايعجبنيش راسي,I don't like my hair.
ياك ماتخافي,Don't be afraid of it.
أشناهوا تخصص ديالك فالفلسفة؟,What is your major in philosophy?
